         t      I  Ierr
---------- ------ -----
  446.7239 15.168 0.006
  446.7325 15.173 0.006
 446.74076 15.176 0.006
 446.74907 15.173 0.006
 446.75733 15.171 0.006
 455.66467  14.64 0.006
   455.741 14.635 0.006
 455.78857 14.648 0.006
 456.60868 14.821 0.006
 456.65842 14.825 0.006
 456.72918 14.839 0.006
 456.77661 14.854 0.006
 456.82803 14.861 0.006
 457.57636 15.007 0.006
 457.62032 15.018 0.006
 457.67895 15.027 0.006
 457.73754 15.036 0.006
 457.79618 15.052 0.006
 458.65276 15.191 0.006
 458.72183 15.205 0.006
 459.56997 14.661 0.006
 459.61614 14.645 0.006
 459.67471 14.641 0.006
 459.73413 14.651 0.006
   459.778 14.649 0.006
 459.82181 14.663 0.006
 461.58086 15.014 0.006
 461.62465 15.021 0.006
 461.68332 15.035 0.006
 461.74945 15.045 0.006
 461.81146  15.05 0.006
  462.5814 15.182 0.006
 462.64004 15.193 0.006
 462.68601 15.206 0.006
 465.68487 15.042 0.006
 465.73255 15.043 0.006
 465.81733 15.064 0.006
 466.66857 15.203 0.006
  466.7351 15.207 0.006
  466.8201 15.214 0.006
 467.67225 14.649 0.006
 467.77683 14.668 0.006
  467.8428 14.689 0.006
 468.68316 14.859 0.006
  468.7491 14.879 0.006
 468.80771 14.891 0.006
 468.84428 14.903 0.006
 469.67984 15.047 0.006
 469.75793 15.056 0.006
 469.81684  15.08 0.006
 470.75456 15.203 0.006
 471.66563 14.651 0.006
 471.80242 14.692 0.006
  472.6403  14.86 0.006
 472.68409 14.866 0.006
 472.72789 14.874 0.006
 472.79383 14.893 0.006
 474.71981 15.213 0.006
 475.55417 14.641 0.006
 475.61297 14.654 0.006
 475.67909 14.673 0.006
 475.73122 14.681 0.006
 476.76523 14.899 0.006
 477.55093 15.042 0.006
 477.60222 15.051 0.006
  477.7497 15.075 0.006
 477.83056 15.083 0.006
 478.55709  15.21 0.006
 478.77747 15.195 0.006
 478.83641 15.182 0.006
  479.5559 14.654 0.006
 479.59979 14.658 0.006
 479.74813 14.696 0.006
 479.83741 14.711 0.006
 480.59196 14.875 0.006
 480.67311 14.896 0.006
 480.76669 14.916 0.006
 480.81082 14.923 0.006
 481.57713 15.055 0.006
 481.72551 15.081 0.006
 481.76949 15.089 0.006
 481.81344 15.097 0.006
 482.72637 15.194 0.006
 482.80428 15.174 0.006
 483.59264 14.674 0.006
 483.63711 14.683 0.006
 483.68095 14.687 0.006
 483.72494   14.7 0.006
